subject_id,question_in_block,question_in_task,block_num,probe,swapped,shifted,shifted_dir,shift_amount,shift_position,set,order,mode,mode_num,transposition,probe_file,option1_file,option2_file
MEGp2000,1,81,9,"5,3,5,8,10,15,8,13,10,5,8,3","5,3,5,8,10,8,15,13,10,5,8,3","5,3,5,8,10,14,8,13,10,5,8,3",,-1,5,"0,2,4,7,9","shifted,swapped","0,2,5,7,10",1,3,Q-81-000-probe.wav,Q-81-001-shifted.wav,Q-81-002-swapped.wav
MEGp2000,2,82,9,"6,2,6,2,3,13,6,14,4,13,6,2","6,2,6,2,3,6,13,14,4,13,6,2","6,2,6,2,3,12,6,14,4,13,6,2",,-1,5,"0,1,2,3,5","swapped,shifted","0,1,2,4,11",1,2,Q-82-000-probe.wav,Q-82-001-swapped.wav,Q-82-002-shifted.wav
MEGp2000,3,83,9,"14,9,4,11,7,2,4,7,2,14,11,14","14,9,4,11,7,4,2,7,2,14,11,14","14,9,4,11,7,3,4,7,2,14,11,14",,1,5,"0,2,4,7,9","shifted,swapped","0,2,5,7,9",3,2,Q-83-000-probe.wav,Q-83-001-shifted.wav,Q-83-002-swapped.wav
MEGp2000,4,84,9,"14,13,15,12,13,5,3,13,14,12,15,3","14,13,15,12,13,3,5,13,14,12,15,3","14,13,15,12,13,6,3,13,14,12,15,3",,1,5,"0,1,2,3,5","swapped,shifted","0,2,9,10,11",3,3,Q-84-000-probe.wav,Q-84-001-swapped.wav,Q-84-002-shifted.wav
MEGp2000,5,85,9,"8,5,12,10,12,3,0,12,10,0,12,8","8,5,12,10,12,0,3,12,10,0,12,8","8,5,12,10,12,2,0,12,10,0,12,8",,-1,5,"0,2,4,7,9","shifted,swapped","0,3,5,8,10",2,0,Q-85-000-probe.wav,Q-85-001-shifted.wav,Q-85-002-swapped.wav
MEGp2000,6,86,9,"1,3,8,10,5,8,-2,5,-2,3,8,-2","1,3,8,10,5,-2,8,5,-2,3,8,-2","1,3,8,10,5,8,-3,5,-2,3,8,-2",,-1,6,"0,2,4,7,9","swapped,shifted","0,3,5,7,10",4,-2,Q-86-000-probe.wav,Q-86-001-swapped.wav,Q-86-002-shifted.wav
MEGp2000,7,87,9,"3,4,3,2,4,13,2,6,3,4,14,4","3,4,3,2,4,2,13,6,3,4,14,4","3,4,3,2,4,12,2,6,3,4,14,4",,-1,5,"0,1,2,3,5","shifted,swapped","0,1,2,4,11",1,2,Q-87-000-probe.wav,Q-87-001-shifted.wav,Q-87-002-swapped.wav
MEGp2000,8,88,9,"13,14,13,12,3,2,12,14,2,5,13,5","13,14,13,12,3,12,2,14,2,5,13,5","13,14,13,12,3,2,11,14,2,5,13,5",,-1,6,"0,1,2,3,5","shifted,swapped","0,1,3,10,11",2,2,Q-88-000-probe.wav,Q-88-001-shifted.wav,Q-88-002-swapped.wav
MEGp2000,9,89,9,"2,7,9,4,2,4,7,9,11,4,9,7","2,7,9,4,2,7,4,9,11,4,9,7","2,7,9,4,2,4,8,9,11,4,9,7",,1,6,"0,2,4,7,9","shifted,swapped","0,3,5,8,10",2,-1,Q-89-000-probe.wav,Q-89-001-shifted.wav,Q-89-002-swapped.wav
MEGp2000,10,90,9,"12,9,14,11,14,9,12,10,12,14,10,9","12,9,14,11,14,12,9,10,12,14,10,9","12,9,14,11,14,9,13,10,12,14,10,9",,1,6,"0,1,2,3,5","shifted,swapped","0,7,8,9,10",4,2,Q-90-000-probe.wav,Q-90-001-shifted.wav,Q-90-002-swapped.wav
