subject_id,question,block_num,diatonic,chromatic,unique_diatonic,unique_chromatic,necklace,scale,mode,fragment_generic,fragment_specific,fragment_span,order,transposition,fragment_file,option1_file,option2_file
sVgMEG0001,1,7,"6,8,10,8,10,12,10,12,13,12,13,15,13","6,8,10,8,10,12,10,12,14,12,14,16,14",6,6,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"1,1,-1","2,2,-2",1,"chromatic,diatonic",6,Q-133-000-fragment.wav,Q-133-001-chromatic.wav,Q-133-002-diatonic.wav
sVgMEG0001,2,7,"1,0,3,5,3,6,8,6,10,12,10,13,15","1,0,3,5,4,7,9,8,11,13,12,15,17",7,9,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"-1,2,1","-1,3,2",2,"chromatic,diatonic",1,Q-134-000-fragment.wav,Q-134-001-chromatic.wav,Q-134-002-diatonic.wav
sVgMEG0001,3,7,"6,4,3,4,3,1,3,1,-1,1,-1,-3,-1","6,4,3,4,2,1,2,0,-1,0,-2,-3,-2",6,9,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"-1,-1,1","-2,-1,1",-1,"chromatic,diatonic",6,Q-135-000-fragment.wav,Q-135-001-chromatic.wav,Q-135-002-diatonic.wav
sVgMEG0001,4,7,"2,6,7,4,7,9,6,9,11,7,11,12,9","2,6,7,4,8,9,6,10,11,8,12,13,10",7,10,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"2,1,-2","4,1,-3",1,"chromatic,diatonic",2,Q-136-000-fragment.wav,Q-136-001-chromatic.wav,Q-136-002-diatonic.wav
sVgMEG0001,5,7,"2,5,7,3,7,9,5,9,10,7,10,12,9","2,5,7,3,6,8,4,7,9,5,8,10,6",7,9,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"2,1,-2","3,2,-4",1,"chromatic,diatonic",2,Q-137-000-fragment.wav,Q-137-001-chromatic.wav,Q-137-002-diatonic.wav
sVgMEG0001,6,7,"5,4,2,4,2,0,2,0,-1,0,-1,-3,-1","5,4,2,4,3,1,3,2,0,2,1,-1,1",6,7,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-1,-1,1","-1,-2,2",-1,"chromatic,diatonic",5,Q-138-000-fragment.wav,Q-138-001-chromatic.wav,Q-138-002-diatonic.wav
sVgMEG0001,7,7,"6,2,6,4,0,4,2,-1,2,0,-3,0,-1","6,2,6,4,0,4,2,-2,2,0,-4,0,-2",6,6,"0,2,4,5,7,9,11","0,1,3,5,6,8,10",6,"-2,2,-1","-4,4,-2",-1,"chromatic,diatonic",6,Q-139-000-fragment.wav,Q-139-001-chromatic.wav,Q-139-002-diatonic.wav
sVgMEG0001,8,7,"6,10,12,8,12,13,10,13,15,12,15,17,13","6,10,12,8,12,14,10,14,16,12,16,18,14",7,6,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"2,1,-2","4,2,-4",1,"diatonic,chromatic",6,Q-140-000-fragment.wav,Q-140-001-diatonic.wav,Q-140-002-chromatic.wav
sVgMEG0001,9,7,"6,3,-1,3,-1,-4,-1,-4,-8,-4,-8,-11,-8","6,3,-1,3,0,-4,0,-3,-7,-3,-6,-10,-6",6,8,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"-2,-2,2","-3,-4,4",-2,"diatonic,chromatic",6,Q-141-000-fragment.wav,Q-141-001-diatonic.wav,Q-141-002-chromatic.wav
sVgMEG0001,10,7,"3,0,3,1,-2,1,0,-4,0,-2,-5,-2,-4","3,0,3,1,-2,1,-1,-4,-1,-3,-6,-3,-5",6,9,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-2,2,-1","-3,3,-2",-1,"diatonic,chromatic",3,Q-142-000-fragment.wav,Q-142-001-diatonic.wav,Q-142-002-chromatic.wav
sVgMEG0001,11,7,"5,2,0,2,-1,-3,-1,-5,-7,-5,-8,-10,-8","5,2,0,2,-1,-3,-1,-4,-6,-4,-7,-9,-7",7,8,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-2,-1,1","-3,-2,2",-2,"chromatic,diatonic",5,Q-143-000-fragment.wav,Q-143-001-chromatic.wav,Q-143-002-diatonic.wav
sVgMEG0001,12,7,"5,6,5,1,3,1,-2,-1,-2,-6,-4,-6,-9","5,6,5,1,2,1,-3,-2,-3,-7,-6,-7,-11",7,6,"0,2,4,5,7,9,11","0,1,3,5,6,8,10",6,"1,-1,-2","1,-1,-4",-2,"diatonic,chromatic",5,Q-144-000-fragment.wav,Q-144-001-diatonic.wav,Q-144-002-chromatic.wav
sVgMEG0001,13,7,"5,8,10,8,12,14,12,15,17,15,19,20,19","5,8,10,8,11,13,11,14,16,14,17,19,17",7,8,"0,2,4,5,7,9,11","0,2,3,5,7,9,10",1,"2,1,-1","3,2,-2",2,"chromatic,diatonic",5,Q-145-000-fragment.wav,Q-145-001-chromatic.wav,Q-145-002-diatonic.wav
sVgMEG0001,14,7,"3,7,3,5,8,5,7,10,7,8,12,8,10","3,7,3,5,9,5,7,11,7,9,13,9,11",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"2,-2,1","4,-4,2",1,"diatonic,chromatic",3,Q-146-000-fragment.wav,Q-146-001-diatonic.wav,Q-146-002-chromatic.wav
sVgMEG0001,15,7,"5,7,10,9,10,14,12,14,17,16,17,21,19","5,7,10,9,11,14,13,15,18,17,19,22,21",7,9,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"1,2,-1","2,3,-1",2,"diatonic,chromatic",5,Q-147-000-fragment.wav,Q-147-001-diatonic.wav,Q-147-002-chromatic.wav
sVgMEG0001,16,7,"4,8,11,8,11,15,11,15,18,15,18,22,18","4,8,11,8,12,15,12,16,19,16,20,23,20",6,6,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"2,2,-2","4,3,-3",2,"chromatic,diatonic",4,Q-148-000-fragment.wav,Q-148-001-chromatic.wav,Q-148-002-diatonic.wav
sVgMEG0001,17,7,"6,2,1,2,-1,-3,-1,-5,-6,-5,-8,-10,-8","6,2,1,2,-2,-3,-2,-6,-7,-6,-10,-11,-10",7,6,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"-2,-1,1","-4,-1,1",-2,"chromatic,diatonic",6,Q-149-000-fragment.wav,Q-149-001-chromatic.wav,Q-149-002-diatonic.wav
sVgMEG0001,18,7,"3,-1,-2,1,-2,-4,-1,-4,-6,-2,-6,-7,-4","3,-1,-2,1,-3,-4,-1,-5,-6,-3,-7,-8,-5",7,10,"0,2,4,5,7,9,11","0,2,3,5,7,8,10",5,"-2,-1,2","-4,-1,3",-1,"chromatic,diatonic",3,Q-150-000-fragment.wav,Q-150-001-chromatic.wav,Q-150-002-diatonic.wav
sVgMEG0001,19,7,"5,8,5,1,5,1,-2,1,-2,-6,-2,-6,-9","5,8,5,1,4,1,-3,0,-3,-7,-4,-7,-11",6,6,"0,2,4,5,7,9,11","0,1,3,5,7,8,10",2,"2,-2,-2","3,-3,-4",-2,"diatonic,chromatic",5,Q-151-000-fragment.wav,Q-151-001-diatonic.wav,Q-151-002-chromatic.wav
sVgMEG0001,20,7,"6,5,6,8,6,8,10,8,10,12,10,12,13","6,5,6,8,7,8,10,9,10,12,11,12,14",6,9,"0,2,4,5,7,9,11","0,2,4,6,7,9,11",3,"-1,1,1","-1,1,2",1,"chromatic,diatonic",6,Q-152-000-fragment.wav,Q-152-001-chromatic.wav,Q-152-002-diatonic.wav
sVgMEG0001,21,7,"1,-2,1,5,1,5,8,5,8,12,8,12,15","1,-2,1,5,2,5,9,6,9,13,10,13,17",6,6,"0,2,4,5,7,9,11","0,2,4,5,7,9,11",0,"-2,2,2","-3,3,4",2,"chromatic,diatonic",1,Q-153-000-fragment.wav,Q-153-001-chromatic.wav,Q-153-002-diatonic.wav
sVgMEG0001,22,7,"3,0,1,0,-4,-2,-4,-7,-5,-7,-11,-9,-11","3,0,1,0,-3,-2,-3,-6,-5,-6,-9,-8,-9",7,8,"0,2,4,5,7,9,11","0,2,4,5,7,9,10",4,"-2,1,-1","-3,1,-1",-2,"diatonic,chromatic",3,Q-154-000-fragment.wav,Q-154-001-diatonic.wav,Q-154-002-chromatic.wav
